origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Alton	United Kingdom	51.1498	-0.9769		Montecchio Maggiore	45.50369	11.412		Italy	1108	EU
St Albans	United Kingdom	51.755	-0.336	57795	Odense	55.4	10.383333333333	173814	Denmark	814	EU
Peterborough	United Kingdom	52.583333333333	-0.25	136292	Alcalá de Henares	40.481815	-3.364305	195907	Spain	1366	EU
Edinburgh	United Kingdom	55.95	-3.1988888888889	483000	Segovia	40.95	-4.1166666666667	52257	Spain	1669	EU
Sandwich	United Kingdom	51.274722222222	1.3388888888889		Ronse	50.75	3.6		Belgium	169	EU
Wells	United Kingdom	51.209166666667	-2.6508333333333		Fontanellato	44.8825	10.155833333333		Italy	1181	EU
Newbury	United Kingdom	51.4009	-1.3235		Eeklo	51.1858	3.5639		Belgium	341	EU
Canterbury	United Kingdom	51.278333333333	1.0775	55240	Certaldo	43.547777777778	11.041111111111	16076	Italy	1139	EU
Bournemouth	United Kingdom	50.72	-1.88	183491	Koekelberg	50.859166666667	4.3302777777778		Belgium	437	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Altea	38.6	-0.048888888888889	21739	Spain	1387	EU
Brighton	United Kingdom	50.824166666667	-0.13388888888889	160000	Alicante	38.345277777778	-0.48305555555556	330525	Spain	1388	EU
Prestwick	United Kingdom	55.495551	-4.61416		Ariccia	41.716666666667	12.666666666667		Italy	1979	EU
Buntingford	United Kingdom	51.9445	-0.016		Ólvega	41.779166666667	-1.9855555555556	3661	Spain	1140	EU
Barry	United Kingdom	51.4064	-3.2667		Mouscron	50.7444	3.2156		Belgium	459	EU
Edinburgh	United Kingdom	55.95	-3.1988888888889	483000	Aalborg	57.05	9.9166666666667	112194	Denmark	813	EU
Canterbury	United Kingdom	51.278333333333	1.0775	55240	Esztergom	47.785555555556	18.740277777778	28102	Hungary	1329	EU
Barnstaple	United Kingdom	51.0823	-4.0489		Trouville-sur-Mer	49.3675	0.081666666666667	4728	France	350	EU
Beverley	United Kingdom	53.845	-0.427		Nogent-sur-Oise	49.274722222222	2.4675	18753	France	546	EU
Cirencester	United Kingdom	51.719	-1.968		Saint-Genis-Laval	45.695277777778	4.7930555555556	20696	France	833	EU
Sandown	United Kingdom	50.6551	-1.1541		Tonnay-Charente	45.943611111111	-0.89138888888889	7914	France	524	EU
Llandrindod Wells	United Kingdom	52.243538888889	-3.3854694444444		Contrexéville	48.184444444444	5.8955555555556	3336	France	799	EU
Buckingham	United Kingdom	52	-1		Mouvaux	50.703333333333	3.1405555555556	13309	France	322	EU
Inchture	United Kingdom	56.4459	-3.1679		Fléac	45.665277777778	0.093611111111111	3656	France	1220	EU
Dolgellau	United Kingdom	52.742972222222	-3.88375		Guérande	47.328055555556	-2.4291666666667	15858	France	611	EU
Wingham	United Kingdom	51.2724	1.2171		Vert-le-Grand	48.572222222222	2.3577777777778	2389	France	311	EU
Wellington	United Kingdom	50.9755	-3.2243		Lillebonne	49.520833333333	0.5375	8972	France	313	EU
Billericay	United Kingdom	51.628	0.4184		Chauvigny	46.568611111111	0.64666666666667	7086	France	563	EU
Larkhall	United Kingdom	55.737	-3.972		Seclin	50.548333333333	3.0294444444444	12571	France	741	EU
Wellington	United Kingdom	50.9755	-3.2243		Torres Vedras	39.083333333333	-9.2666666666667		Portugal	1404	EU
Monmouth	United Kingdom	51.81	-2.72		Carbonne	43.297222222222	1.2191666666667	5330	France	991	EU
Dereham	United Kingdom	52.682197222222	0.94044444444444		Caudebec-lès-Elbeuf	49.280833333333	1.0211111111111	10154	France	378	EU
Witney	United Kingdom	51.78	-1.49		Le Touquet-Paris-Plage	50.523333333333	1.5852777777778	4588	France	256	EU
Newark-on-Trent	United Kingdom	53.0765	-0.81		Saint-Cyr-sur-Loire	47.402777777778	0.67805555555556	16239	France	640	EU
Newhaven	United Kingdom	50.8	0.06		La Chapelle-Saint-Mesmin	47.889722222222	1.8397222222222	10078	France	348	EU
Silverton, Devon	United Kingdom	50.816	-3.484		Saint-Thégonnec	48.521111111111	-3.9466666666667	2666	France	257	EU
Kelso	United Kingdom	55.583333333333	-2.4166666666667		Orchies	50.474722222222	3.2441666666667	8284	France	682	EU
Royal Leamington Spa	United Kingdom	52.292	-1.537		Sceaux	48.778611111111	2.2905555555556	19718	France	475	EU
Haddington	United Kingdom	55.958	-2.774		Aubigny-sur-Nère	47.488611111111	2.4391666666667	5582	France	1007	EU
Sandy, Bedfordshire	United Kingdom	52.131	-0.297		Malaunay	49.526111111111	1.0402777777778	5921	France	304	EU
Hertford	United Kingdom	51.795	-0.078		Évron	48.155555555556	-0.4025	7107	France	405	EU
Pencoed	United Kingdom	51.5228	-3.50474		Plouzané	48.38	-4.6005555555556	12175	France	360	EU
Penicuik	United Kingdom	55.826	-3.22	15926	L'Isle-sur-la-Sorgue	43.919444444444	5.0513888888889	18955	France	1448	EU
Didcot	United Kingdom	51.606111111111	-1.2411111111111		Meylan	45.208611111111	5.7794444444444	17493	France	879	EU
